らっしゃい。あ、先生。,[sound:dialog_japanese_calculations_and_good_conversation_1.mp3],The_Path_to_Advanced_Japanese Level_3_Japanese JLPT_N4_Recommended_Course Lower_Intermediate_Season_6 japanese_podcast_101
あ、野沢さん？八百屋さんで アルバイト？,[sound:dialog_japanese_calculations_and_good_conversation_2.mp3],The_Path_to_Advanced_Japanese Level_3_Japanese JLPT_N4_Recommended_Course Lower_Intermediate_Season_6 japanese_podcast_101
あ、うちの親、八百屋を してるんです。,[sound:dialog_japanese_calculations_and_good_conversation_3.mp3],The_Path_to_Advanced_Japanese Level_3_Japanese JLPT_N4_Recommended_Course Lower_Intermediate_Season_6 japanese_podcast_101
大変だね。,[sound:dialog_japanese_calculations_and_good_conversation_4.mp3],The_Path_to_Advanced_Japanese Level_3_Japanese JLPT_N4_Recommended_Course Lower_Intermediate_Season_6 japanese_podcast_101
はい。重いもの 運ばなきゃいけないから、体 痛くなっちゃうし、お金も もらえないし、ほんと、やに なりますよ。,[sound:dialog_japanese_calculations_and_good_conversation_5.mp3],The_Path_to_Advanced_Japanese Level_3_Japanese JLPT_N4_Recommended_Course Lower_Intermediate_Season_6 japanese_podcast_101
で、先生、何、買います？,[sound:dialog_japanese_calculations_and_good_conversation_6.mp3],The_Path_to_Advanced_Japanese Level_3_Japanese JLPT_N4_Recommended_Course Lower_Intermediate_Season_6 japanese_podcast_101
おすすめ、ある？,[sound:dialog_japanese_calculations_and_good_conversation_7.mp3],The_Path_to_Advanced_Japanese Level_3_Japanese JLPT_N4_Recommended_Course Lower_Intermediate_Season_6 japanese_podcast_101
今日は…キャベツは 2割引、なすと玉ねぎは 半額っすよ。,[sound:dialog_japanese_calculations_and_good_conversation_8.mp3],The_Path_to_Advanced_Japanese Level_3_Japanese JLPT_N4_Recommended_Course Lower_Intermediate_Season_6 japanese_podcast_101
じゃ、なすと 玉ねぎと キャベツ、ちょうだい。,[sound:dialog_japanese_calculations_and_good_conversation_9.mp3],The_Path_to_Advanced_Japanese Level_3_Japanese JLPT_N4_Recommended_Course Lower_Intermediate_Season_6 japanese_podcast_101
はい。,[sound:dialog_japanese_calculations_and_good_conversation_10.mp3],The_Path_to_Advanced_Japanese Level_3_Japanese JLPT_N4_Recommended_Course Lower_Intermediate_Season_6 japanese_podcast_101
キャベツ、4分の１しか　いらないんだけど…。,[sound:dialog_japanese_calculations_and_good_conversation_11.mp3],The_Path_to_Advanced_Japanese Level_3_Japanese JLPT_N4_Recommended_Course Lower_Intermediate_Season_6 japanese_podcast_101
あ、いいっすよ。切ります。,[sound:dialog_japanese_calculations_and_good_conversation_12.mp3],The_Path_to_Advanced_Japanese Level_3_Japanese JLPT_N4_Recommended_Course Lower_Intermediate_Season_6 japanese_podcast_101
えっと…。120＋100＋25＝245。で、消費税が5パーセントだから…。,[sound:dialog_japanese_calculations_and_good_conversation_13.mp3],The_Path_to_Advanced_Japanese Level_3_Japanese JLPT_N4_Recommended_Course Lower_Intermediate_Season_6 japanese_podcast_101
